sentiment	productId	userId	summary	text	helpfulY	helpfulN
-1	B0031YJ38W	A33I3E7UCT95VS	poor quality control.... moldy	My kids love these, and we've ordered them often - but as was the case with at least one other reviewer, this batch came in with some mold. (I freeze them as soon as they arrive, so had the have been moldy upon arrival.)<br /><br />too bad - but at this price, won't run the risk of having to toss out product.	0	1
-1	B005K4Q1VI	A3N4FFGX8CCHL	Not good	"Thin, runny, and the fake milk powder used to add ""creaminess"" has an off flavor. Better off eating your ceramic mug."	0	0
-1	B001LGGH40	A3DJRNEMOM1XF	Yucky taste- expensive too!	"<span class=""tiny""> Length:: 2:06 Mins<br /><br /></span>-1 star for the price!<br />-2 stars for the yucky flavor!<br /><br /> enjoy the video! props to my officemate Brendan for filming."	0	0
-1	B0009XQSAY	A3SWRDPPU5UMO8	Useless to me...	I bought this to ship to me in Afghanistan, since it would be easier than asking my wife to go to the grocery store and then to the post office. Good price and fast shipping, but now I have to order a can opener. The item image depicts a pull-tab can which was my main concern, but the package that arrived did not have these tabs. If this is your concern, like mine, then don't buy.<br /><br />As for the taste or quality of the meat, well I'll just have to wait and see.	0	0
1	B000X2CWTM	AG3MYK4X81GRH	the best	this product comes from finland and is an all natural product that is always fresh and I have never tasted better licorice in my life.  This product arrived fast in a protective box and the price is great.  I will purchase another case now.	1	0
-1	B002BCD2GO	A1EAOKW9IND6K9	ho hum	I have been using the agave for years and i must report that it hav changed> it is much thinner and not as sweet so you must use more.	0	1
-1	B001E5DZTS	A34B6PEYIUAEQL	NO MORE MEYENBERG!	"THE CAN DOES NOT SAY ""NO ANTIBIOTICS"". I called the company and asked why the can does not say this.  First, she tells me that THEY HAVE NO ANTIBIOTICS BUT the FDA won't allow them to put it on their can.  I said ""lots of companies put no antibiotics on their label"".  Then she said we are making a new label.  I felt a definate flippant attitude.  I felt like she just wanted me to get off the phone.<br /><br />Well, I just canceled my autoship for their goat milk. I am now looking for another goat milk that puts ""no antibiotics"" on their label.  I know that there are some good goat milk companies that do this."	6	10
-1	B002TMV34E	A58F10T4OE58C	Inexpensive coffee lacking in flavor	I am a true coffee lover  and it is my favorite beverage morning or night.  I enjoy brewing coffee at home and buy a variety of brands in varying price points.  After reading the description of the Melitta Cafe Collection I was excited to brew it.  I was extremely disappointed by how stale the coffee smelled when I opened the bag and was not impressed by the flavor after I brewed it.  It tasted like a pouch of hotel coffee, no flavor, stale and bad aroma.  The packaging looks upscale and is a great price but unfortunately the coffee was not good, I had to throw it away.	0	1
-1	B003X7S45U	A1Y33TIS90NSIK	No pumpkin flavor	I was so excited to order and receive this coffee but I was disappointed once I brewed a cup.  The Vanilla flavor came out but I tasted no pumpkin spice.  There was no aroma of pumpkin...nothing.  It has a unique flavor which is good but it just was not what I was looking for.	0	0
1	B0005ZWBPC	A39WLGAYBIZMX4	Delicious Treat!!!	I became addicted to eating these the first time I tasted them which was years ago. Once you eat one, you just can't stop until they're gone. They aren't too sweet and make the perfect snack. I love these things!!!	1	0
1	B000G6RYNE	A1Y3XPZK9ZADFW	glad to find them in 1 oz size	I buy mostly for vending, so the size of the bag is important. Kettle's 1 oz bag is a good size although it seems a bit less than full. Salt & Vinegar flavor is satisfying, about an 8 out of 10.	0	0
1	B000WMPGDW	A2DSKH3NICFS4I	LOVE Dulce de leche	"Just an outstanding product<br /><br />An authentic dulce de leche ranked number-one in Argentina for its exceptional richness and depth of flavor.<br /><br />Made at a small dairy outside of Buenos Aires.<br /><br />(note that the web page or supplier indicates ""Made in Spain"" but this product is clearly made in Argentina)"	2	0
-1	B000N62EKK	A3F5SYHY64MZXG	Lamb Lung	This was gross. It lamb lund & smelled bad. There hard chips. My dogs Favorite is the Texas Taffy. Thats a winner. I cut it into peices. she LOVES THEM.	2	6
-1	B004ZIER34	A1E8XXAKINL0B1	Sorry... Not a fan	"Unpleasant taste.  I wouldn't say ""bitter"" but just ""off"" for me.  It had an intense-strong taste but lacked depth if that makes any sense.<br />Wish I could be a fan, but it wouldn't be a choice I would make in the future.  On the positive - their label is cute!"	1	0
1	B0085G4ACA	A3I03Q4PSLQMCE	Coconut Water	After reading about the benefits of coconut water, I decided to give this brand a try.  I have tried a few other brands with a juice added, but they all have lot of extra sodium.  Be sure to read the labels.  Some have less potassium in them than the Via Coco brand.  I felt like this was better for my husband to drink than Gatorade. He works on a/c during the summer and is out in the heat all day long.	0	0
1	B0043P126O	AG08SJ3U2ZV6J	Perfect fo my little dog	These treats are perfect for my little dog.  I tried the assorted flavors, and it was too much for his sensitive stomach.  The plan treats are perfect.  He's only 10-11 lbs, so these small treats are just right for his size.  I used to run out before I'd remember to buy more, so I am doing Amazon's subscribe and save.  No more worries about running out.	1	0
1	B004NNFEA6	A1M4KJZJH91D88	One of the best snacks going.	Very tasty cheese flavor. Because of crunch and small pieces (of mixed size), it goes a long way without adding too many calories. A good buy. Walt B., Apple Valley	2	0
-1	B003SRWR5I	A3430BFN4JVOSZ	Very Disappointed	"Claxton Dark Fruitcake has been a holiday tradition in our family since the mid 1950's. I ordered it directly from the company this year and when I served it at Thanksgiving, my guests and I thought I must have been fooled by a counterfeit website just claiming to sell Claxton fruitcakes. It was at best 40% fruits and nuts and consisted of a gummy light colored ""cake"". I emailed the company and expressed my disappointment. After several emails back and forth and after today talking to one of the owners, they assured me that it was the original dark recipe.<br /><br />In reading the ingredients, I noticed that corn syrup, sugar and high fructose corn syrup were listed after flour which was the 4th ingredient. At the very end were listed molasses, spices and 3 artificial food dyes. High fructose corn syrup wasn't widely available until the mid 1970's to mid 1980's, so I'm not sure how it was one of the original ingredients.<br /><br />All of the people I talked to seemed to have the attitude that I was so stupid that I couldn't possibly be observing what I had correctly. Although they offered to send replacements if I returned it at my own expense, they told me that what I would receive would be identical to what I have. One of the owners informed me that they had received zero complaints this year.<br /><br />I am grieving the loss of an almost 55 year tradition, but the other 4 cakes are now in the trash."	0	0
-1	B001EO5OSO	A27EP0V45FE6WV	More like pancake syrup.	I bought this item thinking it might be equivilent to Starbucks or Davinci Hazelnut syrup but it's not. At first it tastes like Hazelnut then you get the flavor of cheap pancake syrup followed by an aftertaste that can best be described as tasting stale. The price is only slightly better than what I can get the Davinci Brand at Sam's club but the quality is far lower in my opinion. For hazelnut fans I suggest avoiding this particular brand.	3	0
1	B003EML8PM	A2J84VRE0VIVW4	Great Rinds!	We love these and will order again soon!  All of our friends that we shared with had to have a bag or two so are almost out.	0	0
1	B002RJD2XY	A1XQMQMF07QZQS	Cook up to be whole beans in a jiffy	These are perfect if you want to add some beans to another soup, or just to have any size portion of black beans right away. As they are dried, they last forever, and you can have any portion size you want. With a little water and microwave, they perk up to give you really good quality black beans. I like these better than canned black beans, and I don't have any more at any time than I want. Adding them to soups which are too watery is a great way to thicken them up. You can't do that with canned beans which are mostly water in the first place. I haven't calculated the price out, but these are probably not any more expensive than canned beans because you aren't buying any water. Would be perfect for camping food as well.	0	0
-1	B001EQ5FV8	A329QOQ93W5KD3	Maine Coast Kelp Granules	It took a while for them to arrive and when it did. I simply seasoned my rice with a dash of this while boiling the rice to completion. After using this, the next day I became nauseous and have constant bubbling in my lower left side of stomach area. I am perfectly healthy but this did start something.  Again, I only used a dash. It was either this or the normal tea I had at Starbucks. I lean towards the granules but maybe I have some type of over-reactive thyroid gland.	0	1
1	B0000GGI00	A21EHWHI9XQY10	Pico Pica ... the BEST	I love Pico Pica.  It adds some flavor, and it's not too hot. I eat it at least 2 meals every day. It's good on eggs, it's good on pizza, it's good on vegetables.<br /><br />Really, you can't go wrong.	4	0
1	B000LRH7HG	A2KNGRQXZDVUX5	great stuff, completely satisfied	Forgot expedited delivery and it is hot here in the South but the meat was cool and still very good.  The cucumber sauce is a great addition.  I didn't have any pita bread but this is still great on white dollar rolls, sub rolls or wheat bread.  Can't wait to try it on pita bread tonight!  Highly recommended.	0	0
1	B004391DK0	A3AARG5QHVY180	Better Than Expected	"I was happily surprised with this product. I read other negative reviews and was honestly disappointed in Betty Crocker gf cake mix so I didn't feel the need to try this. I finally bought it at a whim when I saw it at my local market and I am happy I did. I am a baker at heart and love to spoil my family with homemade deserts and pancakes on the weekends. I have adjusted my cooking and baking to primarily gf for the past year now and am happy when I find a gf alternative that cooks & tastes like ""the real thing"". Another plus is that I can buy this at my local market (which does not carry too many specialty foods) and don't have to make the extra trip to the higher end store.<br /><br />I made pancakes today and they were a hit with everyone. Will definitely use it to try other recipes.<br />Only downside is the cost and size of box; very pricey and very small."	1	0
-1	B001LGGH40	A1UKA7HUAQAMY	Gross	"I was completely put off by SWITCH KIWI BERRY. Another entry into the already boring sparkling juice market, this flavor not only lacked anything new or interesting, but went a step further in its poor flavor.<br /><br />I didn't really taste kiwi, and the ""berry"" was bland and unidentifiable (raspberry and strawberry, according to the ingredients list); it was, like most of these juices on the market, mostly apple and grape and not much in the way of uniqueness. In fact, the can I tried actually had a metallic flavor to it--I don't know if it was actually picking up the tang from the container, or if it's just the poor flavor profile of the beverage. I really don't care enough to try it again to find out.<br /><br />Also, I don't know why they're calling this line SWITCH. It's probably a marketing thing--they want people to ""switch"" from IZZE or whatever they currently drink. I won't be switching anytime soon, at least not for this boring, low-quality drink."	3	1
-1	B005K4Q1VI	A2UGWYQ0MVVDVL	Not worth it, bad concept	Found my kids actually cutting open the pods and dumping them into a cup to add hot water too.  They complained that lots of the good stuff stays in the pod.  Kind of defeats the purpose of the packaging, so we switched back to packets.	1	4
-1	B000121BY6	A3MWNQSKND58DV	A refreshing drink	I'd not heard of Orangina until recently.  I found it a refreshing drink, although, a bit pricey making it a nice treat but probably not an every day event.	0	0
1	B000G6MBX2	A1IRCA0BTW0LLD	That's a spicy!	If you've tried the conventional Kettle crinkle chip verson Salt and Peper, you CAN'T compare these to those!  These are easily some of the most spicy chips you will ever eat, but oompletely enjoyable.  You finish the bag and the indside is just coated with spices.  Great stuff.	4	0
1	B002GWHCLK	A2JQ3SEXKF86TF	Basically a city roast with mild hazelnut flavor.	This coffee tastes like a good cityroast coffee with a mild hazelnut flavor.  It's good.  I am a big fan of hazelnut, and I would like the flavor to be a little stronger.<br /><br />My husband loves the aroma of this one and he prefers it to the Boyer Hazelnut because it is a little darker roast than the Boyer.	2	0
1	B001RVFDOO	A1ONCPHCQIWQN7	Chips	Excellent taste for a low calorie snack.  This size bag is exactly 100 calories and you get a lot of chips.  I prefer these to the regular greasy chips.	0	0
-1	B000PDY3P0	A2ZI922UMJ9N02	OLD POPCORN	I recently purchased this popcorn and less than half of the popcorn popped.  And those that did pop were tough. I believe these were old.  I've purchased other brands and they all have an expiration date printed on back each pack.  These had no expiration dates printed, therefore there was no way of knowing how old these were or how long they have been in their stock. I popped the jolly time brand and it popped perfectly.  I also find that this is on the list of things that can't be returned per Amazon.com policy.  I'm going to purchase the Jolly time popcorn at Smart & Finals. Cheaper and there fresh!!!  What a rip off!!!	2	1
-1	B004ZIER34	A3DGJMO6VPG6FJ	Good... if you need it	While I like my coffee strong, I am slightly susceptible to acidic coffee - just not enough to have to seek out alternatives. If you are to that point, I would recommend this coffee as a good alternative, but if you are not quite to that point, this is not a substitute for great coffee. It's good enough to compete with the pre-ground mass-market coffees but doesn't match up to the more premium beans. It has a mild, nuttier flavor than I'm used to, and a hint of aftertaste comparable to a diet beverage.<br /><br />What confuses me is that the description claims this is a good choice for decaf drinkers looking for a more robust flavor. I'm not sure I agree with that, but what confuses me is: is this decaf or not? I didn't think so, but this claim makes it vague.<br /><br />20 minute later update: oops, definitely caffeinated... gotta run!	0	0
-1	B007M83302	A1BAE6217W78NS	Bought it for kids and wife	They said the salt and vinegar were horrible! Blecht! Couldn't get the awful taste out of their mouth. Now i'm stuck with this box of popchips! lol.	0	2
1	B003KLSZGW	A1DXTSHQEVQJTR	Love Dr. Kracker	These are the only crackers that I buy.  So Healthy and so good.  Eat them with a salad and you have the perfect lunch.	0	0
1	B000S9K0IA	A3SLCKFO3R46XJ	my cats love this product	It is not cheap... probably a little overpriced... but very high quality ingredients. NO meat by products	1	0
1	B002BRC562	ASPGSW8MK1O88	Quite tasty!	I tasted a few of these and they are pretty good.  I was expecting something a bit flavorless and I can imagine happily snacking on these for a multi-day packing hike.  I will write more after I have taken them on the trail.	0	0
1	B002E0RIHM	A2RUIW6J2R3QEI	Fresh Fruit, Dark Chocolate	I got it for my Girlfriend for her Birthday.  The Fruit actually tasted fresh and yummy!  I love dark chocolate, so I loved the dark chocolate almonds.  Next time I'll give the Organic version of this product... to someone close so they share with me  :)	1	0
1	B000E1HVF2	A3ENN12GLNTUAF	Great to keep on hand for desserts!	This deal on Amazon with the Prime free shipping, and/or the even cheaper subscription is very tempting if you make a lot of desserts with this like we do.  One of our favorites is layered graham crackers, this pudding mixed with frozen whipped topping, and topped with a can of melted chocolate frosting.  Lots of stores are discontinuing name brands, so this is a great item to buy here.	1	0
1	B004JQTDUO	A3GKY9OEJQYKEE	GREAT COFFEE	ESPECIALLY AS WE GET OLDER, THE LINING OF OUR STOMACH GETS MORE SENSITIVE TO HARSH CHEMICALS AND SUBSTANCES.  LOW ACID COFFEE IS A COMMON SENSE SUBSTITUTE THAT LOSES NO AROMA OR TASTE IN THE PROCESS.  HIGHLY RECOMMENDED.	0	0
1	B000CPSPPK	A2PJNKVFKR68WG	Good chocolate, nice packaging	I bought these cigars and some bubble gum ones.  Everybody loved the chocolate ones...not so much the bubble gum ones.  Besides having a nice presentation, people said the chocolate was actually really good!!!  I'd buy these over the bubble gum ones again.<br /><br />The only thing I wished was if they gave you more than just 24.  Too bad there was not a 'jumbo' pack because these cigars went fast!	1	0
-1	B000QUZ9DC	AK8CO0R1HB491	not that great	Gum sticks to my teeth and flavor doesn't last long at all.  It's ok for vending machine gum and it was a decent price but the gum itself is not that good.	0	0
1	B001EO7GAI	A1EB9417KLZ2TZ	great inexpensive caviar	Very happy with the product.... in a taste test, for the price, it ranks very high.  Delivery was prompt and as expected.	8	0
1	B004391DK0	A1VZZ7EV4EH3W2	Bisquick, gluten free	I had no idea there was a gluten free Bisquick mix..I made pancakes and they were great and the tea cakes also...	0	0
-1	B007TJGZ54	A3NXEL5T16XNYE	Rip Off	Deceptive ad.  You can buy from Green Mountain for $13.95 a box of 24.  Don't buy from these crooks.	0	1
1	B003ZT61QK	A1S0BFSAOT3S6N	Vanilla Nut Cafe - favorite flavor	The Maxwell House International Coffee - Vanilla Nut Cafe - is absolutely my favorite flavor!  Seems to be extremely difficult to locate now, though.  Last purchase was made through Amazon and hoping it will become available again soon!	3	0
1	B007WFQ4EM	A3GRR3EKLYS5PP	Awesome	I was at a Walmart in South Carolina and just picked some up. I was traveling and it helped me unwind.	1	0
1	B001EQ5KRM	A3B1V3AUUV13R6	Great tasting but a bit pricey .	This is a great tasting tea. I know it is a very healthy and nutritious tea. But in order to have one of these a day I have to be willing to spend at least $60 a month for this tea. That's two dollars a pop and after it ads up I simply can't justify the expense.<br /><br />I mean, for crying out loud, it's a sixteen ounce cup of tea. I know people spend more at Starbucks for something less healthy but I just can't afford to have this everyday. I can use that sixty bucks for a lot of other things. In fact, I decided to use the sixty dollars and buy dark green leafy vegetables at the supermarket along with other nutritious vegetables. Actually, I only need to spend a fraction of that amount per month and I get a lot more food.<br /><br />I know the polyphenols are supposed to be the highest quality in Rishi green tea but I will stick to buying Kirkland brand (Costco) or Treasure Island's green tea and save quite a bit of money.<br /><br />An acquaintance of mine told me about this tea and how it was really good for the immune system. Due to my challenges with illness and deciding to follow the advice of a person who spoke highly of the health benefits of this tea I decided to buy it. Unfortunately, I get blood work done on a regular basis and after nine weeks there was no noticeable change/improvement to justify the expense of this product. It did nothing to improve my health and the lack of improvement in my blood work supports this. So I am no longer going to buy it. I would buy it if I could pay around $20 for a month's supply (for just one tea serving daily), but not $60. It's not worth it.<br /><br />The only reason I'm giving this product four stars is because it does taste very good. Especially with a few droplets of liquid Stevia extract added to the mixture.	0	0
-1	B000GQTP1S	A8UKJQG7LJ9T2	Ridiculously Hot	I consider myself able to consume very spicy foods.  These chips are excessively spicy and can't be enjoyed after approx 4 chips as your mouth is on fire.  What's the point?  I wouldn't recommend a 14 pack as it will take a while to finish them.  On the upside, they have a great flavor, just toooooo spicy.	1	2
1	B00061KXUA	A1C217T6VWIE3	First jar of preserve that I ate all of, myself	This preserve is really delicious -- aromatic and not too sweet nor too piquant. And it's cut in just the right size pieces for spreading: not too lumpy or too 'jammy.'<br /><br />I've wasted so money on so many different preserves. I eat a few teaspoon-fulls, usually find them too sweet, then they sit in the 'frige until I finally throw them away. This brand, I ate all of in just about 2 months which is really fast, for me. It stayed in edible condition in the fridge up to the last spoonful.<br /><br />Amazon is listing four bottles, each containing 1 pound of preserve, so each bottle costs about $5.50 plus shipping.	11	1
1	B001LG945O	A3FARCKMBHQZLY	It's All Juice and It's All Fun!	"Switch is a fun alternative to traditional soft drinks.  It's 100% juice and all natural; it contains no added sugar, no corn syrup, no preservatives and no artificial color.  What makes it fun is it's carbonated.  And just the right amount.<br /><br />The first sip is perhaps a little tart or bitter, but that's because most of us are used to soft drinks with added sugar, corn syrup and a bunch of largely unpronounceable chemical compounds.  Switch has none of that and, although different from traditional soft drinks, the taste is very refreshing.  The carbonation makes it a ""fun"" drink that you can feel good about consuming (it has 100% of the recommended allowance of vitamin C).<br /><br />Should Coke and Pepsi be worried?  Probably not, but it does taste good and it's actually good for you.  You should try it!"	0	0
1	B000UBDKII	AC1637YP1NQOG	great coffee!	I love this coffee and it is so convenient to have it shipped to me automatically!	0	1
-1	B002QWP89S	A3NIW2COUTH4R3	Full of worms	When we opened the box, we found it to be full of small worms. My husband was able to remove them with a small brush but they shouldn't have been there in the first place. We have gone through many many boxes of greenies and this is the first time we found worms in them. The dogs love the greenies and it helps their teeth a lot.	2	0
-1	B003NY7K8A	A23UKBPWKEI7ZG	This product it not what you may think you are getting	"I enjoyed my Manicardi #8 vinegar I bought in Italy. I thought I was buying and even better quality with this product as it is advertised as #12. I was able compare them side by side and this #12 is not close to the same good flavor. I did some research and found that it is actually a lower quality cleverly described by the manufacturer as a 3 barrel formally #12 to confuse the buyer. The description is correct per the manufacturer's label so I can't say that olio2go has a deceptive advertisement. It points out that it is actually ""grape must"" and a condiment quality. But including the #12 designation does mislead. So I gave it one star based on the easily confused product. It was not what I was expecting so I am unhappy with the result. Others may enjoy the flavor but the real thing is much better."	0	0
-1	B002Q7ZYA6	A1HZYK8QIB84HU	Don't buy from this company	I get around a shipment a week all year round from Amazon, and I can not remember ever writing a review. But I am making a point of expressing my anger over this product. I buy lots of tea from many sources and white peony is one of my favorites. The package says it is organic and of the finest quality. It was possibly the worst tea I have ever tasted. In fact, after a couple of pots, I actually threw nearly the whole half pound in the trash. And the price wasn't even that good. I subsequently bought a pound of excellent organic white peony from Whole Foods for less. Whatever they are, this is not a tea company.	6	0
-1	B001EO69NS	A3K0ML8DUPWUFX	Shame on seller - expiration date is right around the corner	Shame on Amazon. This product arrived 4/18/12 with an expiration date of 6/12.  This product is good for a year, and the one they shipped me expires in a little over a month. I want my money back or a new/fresher product.	4	3
1	B000G1X45G	A1U3SU6OX014AC	best coffee at best price	Yuban is one of the best coffees available, but not sold in all areas. Amazon's case price is unbeatable!!  I get a case every 8 weeks, always on time!!	0	0
1	B001EO6AWS	A1NZ5GYB1MXXLZ	Decent Light Roast Organic	It seems most of the organic/shade grown/fair trade coffee is medium or dark roasted, so I've been having a hard time finding something that I like.  While this doesn't wow me like some other coffees, it's priced cheaper than those coffees and it's a good brew for when I'm not really paying attention to what I'm drinking (like when I'm working).<br /><br />I'm definitely going to keep this one around, and just switch to the expensive (better) coffees that I've found when I can really enjoy them.<br /><br />Compared to other coffee that's not organic/shade grown/fair trade, this is an average light roast.  Good, but nothing to get excited over.  It's worth purchasing over those coffees because of the growing practices.	1	0
-1	B0000D9N3M	A1TP9R3J6NGLF3	Old & HARD	This product previously ordered and excellent but this time tasted old and was very hard---finally threw it away.<br /><br />Still have not figured out how I ever got it in first place as ordered another product from Amazon and somehow got this  as well?????	3	5
-1	B000KV61FC	AJNJI8L53U59F	Good in theory, not in practice	"I got this because everyone says it's great for your dog to play with when he's alone. My dog has several treat dispensing toys to keep him busy: <a href=""http://www.amazon.com/gp/product/B001B11L46"">Atomic Treat Ball Interactive Dog Toy, 3-Inch</a> , <a href=""http://www.amazon.com/gp/product/B003ARUKTG"">Ourpets DT-10504 Smarter Toys IQ Treat Ball , 5 Inches , Colors may vary</a>, and Kong Puppy Kong Toy Medium. He does really well with all of them, the atomic being his favorite and the Kong coming in a close second because he really has to work to get stuff out of there. The Tug a Jug just does not work at all for him, though. I put tiny treats in there and it is physically impossible for him to get the treats out. If you're lucky, the rope will catch on one of the treats and you might be able to wiggle one out that way, but that would still require him to be holding the jug and tugging the rope which hardly ever happens. If that doesn't work, you have to tip the jug to get anything out and, well, my dog can't do that since he doesn't have thumbs. I'm glad I got this on clearance at CVS otherwise I'd be a little peeved at paying so much for a toy that doesn't work."	1	1
1	B000M2C536	A1ABULASIMZGHH	Fazer Chocolate a delightful treat	These chocolates are absolutely the best, smooth in taste and almost delicate in texture. Their an absolute MUST for any chocolate fan, I've never been a fan of milk chocolate, but these Fazer chocolates are the absolute exception! I highly recommend these chocolates to anyone who loves chocolate as much as i do!	3	0
